"","X.date","X.location","X.money","X.organization","X.percent","X.person","X.time","DOC.CLASS"
"341",3,8,0,7,0,16,0,"tabloid"
"342",6,14,4,13,0,22,0,"tabloid"
"343",3,3,0,16,0,26,0,"tabloid"
"344",1,7,10,30,0,21,0,"tabloid"
"345",0,4,0,26,0,6,0,"tabloid"
"346",9,5,0,19,0,17,0,"tabloid"
"347",3,7,0,12,0,22,1,"tabloid"
"348",6,15,0,21,0,27,0,"tabloid"
"349",0,5,0,9,0,6,0,"tabloid"
"350",2,5,13,9,0,6,0,"tabloid"
"351",4,7,0,16,0,24,0,"tabloid"
"352",19,4,17,16,0,29,0,"tabloid"
"353",0,1,0,5,0,20,0,"tabloid"
"354",4,2,0,3,0,11,0,"tabloid"
"355",1,4,0,13,0,28,1,"tabloid"
"356",6,5,0,1,0,20,2,"tabloid"
"357",10,13,11,29,0,66,0,"tabloid"
"358",1,3,17,56,0,14,0,"tabloid"
"359",5,0,0,39,0,17,0,"tabloid"
"360",19,8,0,8,0,31,0,"tabloid"
"361",2,8,0,22,0,16,0,"tabloid"
"362",4,6,0,1,0,22,0,"tabloid"
"363",4,6,0,27,0,16,0,"tabloid"
"364",6,3,0,9,0,18,0,"tabloid"
"365",0,7,0,0,0,33,0,"tabloid"
"366",7,9,0,6,0,23,2,"tabloid"
"367",2,0,2,14,0,12,0,"tabloid"
"368",8,3,0,22,0,23,0,"tabloid"
"369",4,7,0,11,0,22,0,"tabloid"
"370",6,2,0,4,0,14,1,"tabloid"
"371",0,1,0,29,0,28,0,"tabloid"
"372",0,0,0,20,0,17,0,"tabloid"
"373",5,1,0,14,0,22,0,"tabloid"
"374",3,3,0,10,0,4,1,"tabloid"
"375",3,2,0,17,0,17,0,"tabloid"
"376",6,5,0,0,0,20,0,"tabloid"
"377",1,0,0,5,0,28,0,"tabloid"
"378",0,6,11,13,0,20,0,"tabloid"
"379",8,1,6,7,0,13,0,"tabloid"
"380",4,8,0,18,0,27,0,"tabloid"
"381",3,0,0,5,0,21,0,"tabloid"
"382",7,0,0,0,0,19,3,"tabloid"
"383",1,12,0,5,0,21,0,"tabloid"
"384",3,1,0,25,0,0,0,"tabloid"
"385",2,1,0,8,0,31,0,"tabloid"
"386",1,2,2,17,0,23,0,"tabloid"
"387",10,11,0,5,0,11,0,"tabloid"
"388",2,3,0,10,0,14,0,"tabloid"
"389",15,0,0,3,0,15,0,"tabloid"
"390",5,4,0,13,0,25,0,"tabloid"
"391",4,0,0,12,0,19,0,"tabloid"
"392",1,3,3,28,0,13,0,"tabloid"
"393",3,1,0,3,0,17,0,"tabloid"
"394",1,2,3,41,0,54,2,"tabloid"
"395",19,4,0,16,0,20,1,"tabloid"
"396",21,3,4,22,0,21,0,"tabloid"
"397",3,2,0,4,0,12,0,"tabloid"
"398",1,17,0,16,0,24,0,"tabloid"
"399",4,5,4,12,0,20,0,"tabloid"
"400",4,9,0,9,0,14,0,"tabloid"
"401",3,1,0,2,0,24,0,"tabloid"
"402",5,4,0,3,0,29,1,"tabloid"
"403",2,3,9,15,0,16,0,"tabloid"
"404",9,10,4,18,0,16,3,"tabloid"
"405",2,0,0,13,0,11,0,"tabloid"
"406",5,5,3,2,2,44,0,"tabloid"
"407",0,3,0,3,0,16,0,"tabloid"
"408",0,6,0,17,0,44,0,"tabloid"
"409",2,6,0,9,0,13,0,"tabloid"
"410",10,26,0,13,0,26,0,"tabloid"
"411",0,3,8,11,0,17,0,"tabloid"
"412",12,2,0,14,0,36,0,"tabloid"
"413",0,5,0,4,0,33,0,"tabloid"
"414",3,3,0,39,0,48,1,"tabloid"
"415",3,20,9,16,0,19,0,"tabloid"
"416",4,4,0,5,0,18,1,"tabloid"
"417",6,5,3,5,0,3,0,"tabloid"
"418",5,6,0,9,0,9,3,"tabloid"
"419",10,2,0,23,0,36,0,"tabloid"
"420",5,4,0,11,0,18,1,"tabloid"
"421",3,1,0,9,2,19,0,"tabloid"
"422",3,6,2,15,0,55,0,"tabloid"
"423",2,4,0,32,0,7,0,"tabloid"
"424",2,4,0,20,0,26,1,"tabloid"
"425",7,3,0,8,0,10,0,"tabloid"
"426",8,7,6,18,0,5,1,"tabloid"
"427",1,10,0,13,0,36,4,"tabloid"
"428",2,0,0,0,0,26,0,"tabloid"
"429",3,1,0,7,0,6,1,"tabloid"
"430",8,5,4,25,0,34,2,"tabloid"
"431",7,6,0,9,0,20,2,"tabloid"
"432",2,11,0,17,0,34,0,"tabloid"
"433",0,3,23,15,0,12,4,"tabloid"
"434",8,6,0,11,0,3,1,"tabloid"
"435",4,3,0,1,2,14,0,"tabloid"
"436",3,20,0,10,0,9,0,"tabloid"
"437",2,4,0,17,0,23,1,"tabloid"
"438",3,6,0,9,0,20,0,"tabloid"
"439",2,2,0,8,0,15,0,"tabloid"
"440",8,3,0,3,0,18,1,"tabloid"
"441",5,1,0,0,0,20,1,"tabloid"
"442",15,0,0,8,0,33,0,"tabloid"
"443",1,9,0,5,0,41,0,"tabloid"
"444",2,4,0,14,0,12,0,"tabloid"
"445",2,1,0,3,0,35,0,"tabloid"
"446",3,3,0,11,0,20,2,"tabloid"
"447",6,9,0,24,0,19,1,"tabloid"
"448",15,7,0,23,8,3,0,"tabloid"
"449",0,4,0,2,0,13,0,"tabloid"
"450",4,4,0,41,0,30,1,"tabloid"
"451",1,1,0,23,0,13,0,"tabloid"
"452",8,9,0,9,0,38,3,"tabloid"
"453",5,7,6,1,0,17,0,"tabloid"
"454",3,7,0,25,0,23,0,"tabloid"
"455",0,6,0,29,0,15,0,"tabloid"
"456",14,6,0,25,0,20,0,"tabloid"
"457",4,6,0,9,0,14,0,"tabloid"
"458",0,1,0,3,0,22,0,"tabloid"
"459",0,3,3,0,0,4,0,"tabloid"
"460",1,18,0,12,0,12,0,"tabloid"
"461",6,2,0,3,0,15,0,"tabloid"
"462",0,0,2,11,0,11,0,"tabloid"
"463",0,0,0,8,0,16,0,"tabloid"
"464",5,6,0,17,0,16,0,"tabloid"
"465",31,7,6,12,0,19,0,"tabloid"
"466",5,6,0,12,0,17,1,"tabloid"
"467",1,2,0,8,0,21,0,"tabloid"
"468",0,0,0,9,0,24,0,"tabloid"
"469",2,9,8,13,0,17,0,"tabloid"
"470",3,5,6,17,0,14,0,"tabloid"
"471",4,1,0,6,0,14,2,"tabloid"
"472",2,4,4,11,2,24,0,"tabloid"
"473",5,1,7,6,0,48,2,"tabloid"
"474",5,1,0,18,0,36,0,"tabloid"
"475",1,1,40,21,2,14,0,"tabloid"
"476",1,5,0,3,0,20,0,"tabloid"
"477",1,6,2,6,0,3,0,"tabloid"
"478",3,2,4,3,0,18,0,"tabloid"
"479",1,0,0,17,0,3,0,"tabloid"
"480",2,10,0,3,0,11,2,"tabloid"
"481",6,5,0,8,0,23,0,"tabloid"
"482",0,5,0,6,0,17,0,"tabloid"
"483",8,2,0,9,0,25,0,"tabloid"
"484",1,1,4,11,0,15,0,"tabloid"
"485",6,4,0,21,0,36,0,"tabloid"
"486",3,3,0,3,0,27,0,"tabloid"
"487",4,11,0,57,0,14,0,"tabloid"
"488",2,11,5,52,0,18,0,"tabloid"
"489",0,7,0,14,0,18,0,"tabloid"
"490",0,0,0,19,0,47,0,"tabloid"
"491",3,9,2,3,0,32,1,"tabloid"
"492",3,13,25,19,4,25,0,"tabloid"
"493",18,1,62,15,0,26,0,"tabloid"
"494",2,14,0,17,0,10,5,"tabloid"
"495",2,0,0,19,0,20,1,"tabloid"
"496",0,5,0,16,2,21,0,"tabloid"
"497",5,4,0,10,0,10,2,"tabloid"
"498",4,10,3,9,0,24,0,"tabloid"
"499",0,2,0,5,0,14,0,"tabloid"
"500",2,7,3,24,0,21,1,"tabloid"
"501",3,2,0,4,0,11,0,"tabloid"
"502",1,3,0,4,0,14,0,"tabloid"
"503",4,8,0,21,0,4,1,"tabloid"
"504",7,5,0,6,0,15,0,"tabloid"
"505",3,0,0,7,0,0,0,"tabloid"
"506",4,6,0,26,0,26,1,"tabloid"
"507",3,3,0,34,0,23,0,"tabloid"
"508",11,7,6,18,0,30,0,"tabloid"
"509",2,0,0,7,0,16,0,"tabloid"
"510",9,6,3,14,0,19,0,"tabloid"
"511",2,1,0,2,0,25,0,"tabloid"
"512",0,7,2,16,0,27,0,"tabloid"
"513",5,6,0,6,0,22,0,"tabloid"
"514",3,0,0,11,0,13,1,"tabloid"
"515",1,4,0,2,0,14,3,"tabloid"
"516",4,1,0,1,0,21,0,"tabloid"
"517",0,3,0,20,0,12,0,"tabloid"
"518",3,1,3,8,0,31,0,"tabloid"
"519",8,0,0,7,0,10,0,"tabloid"
"520",9,5,0,32,0,61,0,"tabloid"
"521",1,1,0,17,0,26,0,"tabloid"
"522",1,24,0,12,0,14,0,"tabloid"
"523",4,8,0,8,0,17,0,"tabloid"
"524",1,27,8,9,0,21,0,"tabloid"
"525",3,1,0,4,0,23,0,"tabloid"
"526",0,4,0,17,0,24,0,"tabloid"
"527",5,1,0,12,0,21,0,"tabloid"
"528",3,9,0,3,0,6,0,"tabloid"
"529",2,11,0,2,0,13,0,"tabloid"
"530",2,8,2,9,0,31,0,"tabloid"
"531",4,2,0,3,0,22,0,"tabloid"
"532",22,5,4,12,0,17,0,"tabloid"
"533",4,3,0,36,0,37,0,"tabloid"
"534",2,4,0,20,0,19,0,"tabloid"
"535",4,3,0,9,0,31,0,"tabloid"
"536",23,1,6,11,0,15,0,"tabloid"
"537",0,2,2,24,0,23,0,"tabloid"
"538",3,2,0,9,0,14,0,"tabloid"
"539",0,7,0,14,0,4,0,"tabloid"
"540",10,3,6,24,0,10,0,"tabloid"
"541",1,2,0,13,0,9,0,"tabloid"
"542",5,1,0,1,0,23,0,"tabloid"
"543",6,1,0,2,0,20,0,"tabloid"
"544",3,3,0,9,0,12,2,"tabloid"
"545",0,0,0,5,4,27,0,"tabloid"
"546",7,0,0,12,0,19,2,"tabloid"
"547",2,9,0,6,0,23,0,"tabloid"
"548",6,4,0,10,0,43,0,"tabloid"
"549",6,5,0,18,0,6,0,"tabloid"
"550",5,5,0,22,0,29,1,"tabloid"
"551",2,1,0,6,0,21,0,"tabloid"
"552",17,1,3,5,0,22,0,"tabloid"
"553",10,3,0,14,0,44,0,"tabloid"
"554",1,7,0,15,0,24,0,"tabloid"
"555",0,10,2,36,0,49,0,"tabloid"
"556",2,9,0,5,0,39,0,"tabloid"
"557",3,5,0,20,0,17,1,"tabloid"
"558",7,4,0,4,0,32,1,"tabloid"
"559",2,6,0,12,0,20,1,"tabloid"
"560",0,5,0,20,0,5,0,"tabloid"
"561",0,5,0,1,0,9,0,"tabloid"
"562",2,8,7,12,0,8,0,"tabloid"
"563",9,18,9,4,0,9,0,"tabloid"
"564",21,7,65,36,0,38,0,"tabloid"
"565",2,1,2,15,0,29,0,"tabloid"
"566",4,3,0,8,0,15,0,"tabloid"
"567",3,6,0,2,0,19,2,"tabloid"
"568",3,8,0,20,0,19,0,"tabloid"
"569",14,15,14,7,0,18,0,"tabloid"
"570",4,3,0,23,0,25,1,"tabloid"
"571",6,1,0,16,0,30,0,"tabloid"
"572",0,0,2,2,0,29,0,"tabloid"
"573",5,4,0,13,0,26,0,"tabloid"
"574",0,7,0,21,4,15,0,"tabloid"
"575",1,2,0,19,0,17,0,"tabloid"
"576",6,3,3,41,0,64,2,"tabloid"
